protocol,split_file,fold,model,n_train,n_test,train_positive_rate,test_positive_rate,accuracy,balanced_accuracy,precision,recall,f1,mcc,kappa,roc_auc,average_precision,brier
pair-stratified,pair_stratified_fold0.csv,0,majority_class,3083,661,0.6454751865066494,0.6459909228441755,0.6459909228441755,0.5,0.6459909228441755,1.0,0.7849264705882353,0.0,0.0,0.5,0.6459909228441755,0.3540090771558245
pair-stratified,pair_stratified_fold0.csv,0,stratified_dummy,3083,661,0.6454751865066494,0.6459909228441755,0.5748865355521936,0.539612482235433,0.6746411483253588,0.6604215456674473,0.6674556213017752,0.07857649300166272,0.07854226508510576,0.539612482235433,0.6649121490401795,0.42511346444780634
pair-stratified,pair_stratified_fold0.csv,0,sequence_logistic,3083,661,0.6454751865066494,0.6459909228441755,0.6399394856278366,0.6459797033567525,0.7739130434782608,0.6252927400468384,0.6917098445595855,0.27950607384941667,0.27053444742235533,0.7035869412918594,0.809127123914227,0.22039831933003412
pair-stratified,pair_stratified_fold0.csv,0,solvent_logistic,3083,661,0.6454751865066494,0.6459909228441755,0.6172465960665658,0.6757391060669748,0.875,0.47540983606557374,0.6160849772382397,0.3521661717120398,0.29577506306033163,0.7273163994475469,0.798159270086115,0.2089028857986831
pair-stratified,pair_stratified_fold0.csv,0,sequence_solvent_logistic,3083,661,0.6454751865066494,0.6459909228441755,0.7428139183055976,0.7449208350847696,0.8445040214477212,0.7377049180327869,0.7875,0.4724185405835956,0.4655613579507082,0.8237955123201024,0.8756799704280928,0.17266741463552382
pair-stratified,pair_stratified_fold0.csv,0,sequence_solvent_random_forest,3083,661,0.6454751865066494,0.6459909228441755,0.8018154311649016,0.7664434836565984,0.8203463203463204,0.8875878220140515,0.8526434195725534,0.555532458899748,0.5515301868127884,0.8693228447326808,0.9122641905788621,0.14107652471428156
pair-stratified,pair_stratified_fold0.csv,0,sequence_solvent_gradient_boosting,3083,661,0.6454751865066494,0.6459909228441755,0.8033282904689864,0.769546027742749,0.8235294117647058,0.8852459016393442,0.8532731376975169,0.5596322974038279,0.5562842094392234,0.8592245641425968,0.908362260031109,0.14041902317414295
sequence-disjoint,sequence_disjoint_fold0.csv,0,majority_class,3065,678,0.6450244698205546,0.6548672566371682,0.6548672566371682,0.5,0.6548672566371682,1.0,0.7914438502673797,0.0,0.0,0.5,0.6548672566371682,0.34513274336283184
sequence-disjoint,sequence_disjoint_fold0.csv,0,stratified_dummy,3065,678,0.6450244698205546,0.6548672566371682,0.5678466076696165,0.5295680295680296,0.675990675990676,0.6531531531531531,0.6643757159221076,0.058320800127773596,0.05825297949199315,0.5295680295680296,0.6686640845932881,0.43215339233038347
sequence-disjoint,sequence_disjoint_fold0.csv,0,sequence_logistic,3065,678,0.6450244698205546,0.6548672566371682,0.644542772861357,0.6406791406791407,0.7692307692307693,0.6531531531531531,0.7064555420219245,0.2692186817380372,0.2635151580712335,0.6925001925001925,0.805497347368411,0.22187641711013206
